id,city,state_name
1840034016,New York,New York
1840020491,Los Angeles,California
1840000494,Chicago,Illinois
1840015149,Miami,Florida
1840019440,Dallas,Texas
1840000673,Philadelphia,Pennsylvania
1840020925,Houston,Texas
1840013660,Atlanta,Georgia
1840006060,Washington,District of Columbia
1840000455,Boston,Massachusetts
1840020568,Phoenix,Arizona
1840021117,Seattle,Washington
1840021543,San Francisco,California
1840003971,Detroit,Michigan
1840021990,San Diego,California
1840007830,Minneapolis,Minnesota
1840015982,Tampa,Florida
1840018789,Denver,Colorado
1840034030,Brooklyn,New York
1840034002,Queens,New York
1840020551,Riverside,California
1840001592,Baltimore,Maryland
1840020364,Las Vegas,Nevada
1840019941,Portland,Oregon
1840022220,San Antonio,Texas
1840001651,St. Louis,Missouri
1840021491,Sacramento,California
1840015099,Orlando,Florida
1840021570,San Jose,California
1840000596,Cleveland,Ohio
1840001254,Pittsburgh,Pennsylvania
1840019590,Austin,Texas
1840003814,Cincinnati,Ohio
1840008535,Kansas City,Missouri
1840034000,Manhattan,New York
1840030084,Indianapolis,Indiana
1840003760,Columbus,Ohio
1840014557,Charlotte,North Carolina
1840003871,Virginia Beach,Virginia
1840033999,Bronx,New York
1840003046,Milwaukee,Wisconsin
1840003289,Providence,Rhode Island
1840015031,Jacksonville,Florida
1840021383,Salt Lake City,Utah
1840036155,Nashville,Tennessee
1840001698,Richmond,Virginia
1840015457,Memphis,Tennessee
1840014497,Raleigh,North Carolina
1840001839,New Orleans,Louisiana
1840030815,Louisville,Kentucky
1840020428,Oklahoma City,Oklahoma
1840004836,Bridgeport,Connecticut
1840000386,Buffalo,New York
1840020696,Fort Worth,Texas
1840004773,Hartford,Connecticut
1840022101,Tucson,Arizona
1840009315,Omaha,Nebraska
1840023252,El Paso,Texas
1840013305,Honolulu,Hawaii
1840021024,McAllen,Texas
1840019176,Albuquerque,New Mexico
1840006507,Birmingham,Alabama
1840015988,Sarasota,Florida
1840034249,Dayton,Ohio
1840000373,Rochester,New York
1840020319,Fresno,California
1840001044,Allentown,Pennsylvania
1840021672,Tulsa,Oklahoma
1840015130,Cape Coral,Florida
1840018905,Concord,California
1840018825,Colorado Springs,Colorado
1840015163,Charleston,South Carolina
1840000466,Springfield,Massachusetts
1840002928,Grand Rapids,Michigan
1840020580,Mission Viejo,California
1840000417,Albany,New York
1840014486,Knoxville,Tennessee
1840019148,Bakersfield,California
1840020135,Ogden,Utah
1840013941,Baton Rouge,Louisiana
1840000791,Akron,Ohio
1840004850,New Haven,Connecticut
1840014730,Columbia,South Carolina
1840020566,Mesa,Arizona
1840015094,Palm Bay,Florida
1840020174,Provo,Utah
